Product ID,Work Center,Length,ID,Task,Time(min),,Sum of Time(min),Column Labels,,,,,,,,,,,,,
BMRV,Assembly,12,1,Add extra gaskets,0.93,,SK,,,,23.3,23.99,24.55,24.42,24.42,24.42,,,,,145.1
BMRVLED,Assembly,4,1,Add extra gaskets,0.93,,SKPLED,5.93,8.93,12.93,,,,,,,,,,,27.79
BMRVLED,Assembly,8,1,Add extra gaskets,0.93,,SKSLED,5.93,8.93,12.93,,,,,,,,,,,27.79
BMRVLED,Assembly,12,1,Add extra gaskets,0.93,,SKVLED,5.93,8.93,12.93,,,,,,,,,,,27.79
BR,Assembly,4,1,Add extra gaskets,0.93,,TEK12,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BR,Assembly,8,1,Add extra gaskets,0.93,,TEK12LED,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BR,Assembly,12,1,Add extra gaskets,0.93,,TEK6,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BRLED,Assembly,4,1,Add extra gaskets,0.93,,TEK6LED,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BRLED,Assembly,8,1,Add extra gaskets,0.93,,WA,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BRLED,Assembly,12,1,Add extra gaskets,0.93,,WALED,,,5.93,,,,,,,5.93,8.93,12.93,12.93,46.65
BRLEDPAT,Assembly,4,1,Add extra gaskets,0.93,,WBR,5.93,8.93,12.93,,,,,,,,,,,27.79
BRLEDPAT,Assembly,8,1,Add extra gaskets,0.93,,WBRLED,5.93,8.93,12.93,,,,,,,,,,,27.79
BRLEDPAT,Assembly,12,1,Add extra gaskets,0.93,,Grand Total,251.85,377.85,634.8,23.3,23.99,24.55,24.42,24.42,24.42,88.95,133.95,193.95,193.95,2020.4
BRPAT,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRPAT,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRPAT,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRV,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRV,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRV,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRVLED,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRVLED,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
BRVLED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYC,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYC,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYC,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYC,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYC,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYCLED,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYCLED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYCLED,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYCLED,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYCLED,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYF,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYF,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYF,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYF,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYF,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYFLED,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYFLED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYFLED,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYFLED,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DAYFLED,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIA,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIA,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIA,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIA,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIA,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIALED,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIALED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIALED,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIALED,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DIALED,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DUO,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DUO,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DUO,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DUO,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
DUO,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
PO,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
PO,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
PO,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
PO,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
PO,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
POLED,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
POLED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
POLED,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
POLED,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
POLED,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
RAY3,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
RAY3,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
RAY3,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
RAY4,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
RAY4,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
RAY4,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
RAY6,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
RAY6,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
RAY6,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
RAY8,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
RAY8,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
RAY8,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SKPLED,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SKPLED,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SKPLED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SKSLED,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SKSLED,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SKSLED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SKVLED,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SKVLED,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SKVLED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK12,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK12,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK12,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK12,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK12,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK12LED,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK12LED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK12LED,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK12LED,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK12LED,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK6,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK6,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK6,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK6,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK6,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK6LED,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK6LED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK6LED,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK6LED,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
TEK6LED,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WA,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WA,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WA,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WA,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WA,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WALED,Assembly,11,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WALED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WALED,Assembly,14,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WALED,Assembly,22,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WALED,Assembly,24,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WBR,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WBR,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WBR,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WBRLED,Assembly,4,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WBRLED,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
WBRLED,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCAC,Assembly,4,1, add extra gaskets ,0.93,,,,,,,,,,,,,,,,
SCAC,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCAC,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCDLAC,Assembly,4,1,add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCDLAC,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCDLAC,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCI,Assembly,4,1,add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCI,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCI,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCILAC,Assembly,4,1,add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCILAC,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCILAC,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCRAC,Assembly,4,1,add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCRAC,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCRAC,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCRLAC,Assembly,4,1,add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCRLAC,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCRLAC,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCSLAC,Assembly,4,1,add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCSLAC,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCSLAC,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCSAC,Assembly,4,1,add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCSAC,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCSAC,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCWI,Assembly,4,1,add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCWI,Assembly,8,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SCWI,Assembly,12,1,Add extra gaskets,0.93,,,,,,,,,,,,,,,,
SK,Assembly,10003,3,Apply silicone in all openning slot,1.25,,,,,,,,,,,,,,,,
SK,Assembly,10005,3,Apply silicone in all openning slot,2.5,,,,,,,,,,,,,,,,
SK,Assembly,10008,3,Apply silicone in all openning slot,2.5,,,,,,,,,,,,,,,,
SK,Assembly,10013,3,Apply silicone in all openning slot,1.25,,,,,,,,,,,,,,,,
SK,Assembly,10018,3,Apply silicone in all openning slot,1.25,,,,,,,,,,,,,,,,
SK,Assembly,10023,3,Apply silicone in all openning slot,1.25,,,,,,,,,,,,,,,,
SK,Assembly,10003,4,Drying time,20,,,,,,,,,,,,,,,,
SK,Assembly,10005,4,Drying time,20,,,,,,,,,,,,,,,,
SK,Assembly,10008,4,Drying time,20,,,,,,,,,,,,,,,,
SK,Assembly,10013,4,Drying time,20,,,,,,,,,,,,,,,,
SK,Assembly,10018,4,Drying time,20,,,,,,,,,,,,,,,,
SK,Assembly,10023,4,Drying time,20,,,,,,,,,,,,,,,,
SK,Assembly,10003,2,Fix back plate with rubber (For Chicago Plenum option),0.93,,,,,,,,,,,,,,,,
