Product ID,Work Center,Length,ID,Task,Time(min),,Sum of Time(min),Column Labels,,,,,,,,,,,,,
BRLED,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BRLED,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BRLEDPAT,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BRLEDPAT,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BRLEDPAT,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BRPAT,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BRPAT,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BRPAT,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BRV,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BRV,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BRV,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
BRVLED,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
BRVLED,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
BRVLED,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
DAYC,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
DAYC,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
DAYC,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
DAYC,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
DAYC,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
DAYCLED,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
DAYCLED,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
DAYCLED,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
DAYCLED,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
DAYCLED,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
DAYF,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
DAYF,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
DAYF,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
DAYF,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
DAYF,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
DAYFLED,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
DAYFLED,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
DAYFLED,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
DAYFLED,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
DAYFLED,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
DIA,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
DIA,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
DIA,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
DIA,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
DIA,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
DIALED,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
DIALED,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
DIALED,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
DIALED,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
DIALED,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
DUO,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
DUO,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
DUO,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
DUO,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
DUO,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
PO,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
PO,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
PO,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
PO,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
PO,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
POLED,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
POLED,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
POLED,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
POLED,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
POLED,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
RAY3,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
RAY3,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
RAY3,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
RAY4,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
RAY4,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
RAY4,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
RAY6,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
RAY6,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
RAY6,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
RAY8,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
RAY8,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
RAY8,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
SKPLED,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
SKPLED,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
SKPLED,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
SKSLED,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
SKSLED,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
SKSLED,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
SKVLED,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
SKVLED,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
SKVLED,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
TEK12,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
TEK12,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
TEK12,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
TEK12,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
TEK12,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
TEK12LED,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
TEK12LED,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
TEK12LED,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
TEK12LED,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
TEK12LED,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
TEK6,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
TEK6,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
TEK6,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
TEK6,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
TEK6,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
TEK6LED,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
TEK6LED,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
TEK6LED,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
TEK6LED,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
TEK6LED,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
WA,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
WA,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
WA,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
WA,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
WA,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
WALED,Assembly,11,2,Silicone,5,,,,,,,,,,,,,,,,
WALED,Assembly,12,2,Silicone,5,,,,,,,,,,,,,,,,
WALED,Assembly,14,2,Silicone,8,,,,,,,,,,,,,,,,
WALED,Assembly,22,2,Silicone,12,,,,,,,,,,,,,,,,
WALED,Assembly,24,2,Silicone,12,,,,,,,,,,,,,,,,
WBR,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
WBR,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
WBR,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
WBRLED,Assembly,4,2,Silicone,5,,,,,,,,,,,,,,,,
WBRLED,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
WBRLED,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
SCAC,Assembly,4,2, silicone ,5,,,,,,,,,,,,,,,,
SCAC,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
SCAC,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
SCDLAC,Assembly,4,2,silicone,5,,,,,,,,,,,,,,,,
SCDLAC,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
SCDLAC,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
SCI,Assembly,4,2,silicone,5,,,,,,,,,,,,,,,,
SCI,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
SCI,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
SCILAC,Assembly,4,2,silicone,5,,,,,,,,,,,,,,,,
SCILAC,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
SCILAC,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
SCRAC,Assembly,4,2,silicone,5,,,,,,,,,,,,,,,,
SCRAC,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
SCRAC,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
SCRLAC,Assembly,4,2,silicone,5,,,,,,,,,,,,,,,,
SCRLAC,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
SCRLAC,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
SCSLAC,Assembly,4,2,silicone,5,,,,,,,,,,,,,,,,
SCSLAC,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
SCSLAC,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
SCSAC,Assembly,4,2,silicone,5,,,,,,,,,,,,,,,,
SCSAC,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
SCSAC,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
SCWI,Assembly,4,2,silicone,5,,,,,,,,,,,,,,,,
SCWI,Assembly,8,2,Silicone,8,,,,,,,,,,,,,,,,
SCWI,Assembly,12,2,Silicone,12,,,,,,,,,,,,,,,,
