 Fixture Type , Mounting Suspension , Power/ N Power , Work Center , ID , Task , Total Time (min) ,,,,,,,,,,
 pendant , SA , Power , Mounting Kits , CAD 4.00 , stem assembly & bagging ,0.85,, SM , CAD 1.09 ,,, CAD 2.66 ,, CAD 1.11 ,, CAD 4.86 
 pendant , ST , N Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.49,, Grand Total , CAD 4.36 , CAD 36.79 , CAD 1.46 , CAD 10.64 , CAD 8.12 , CAD 4.44 , CAD 1.89 , CAD 67.70 
 pendant , ST , Power , Press Punch , CAD 1.00 , punch hole in canopy ,0.14,,,,,,,,,,
 pendant , ST , Power , Mounting Kits , CAD 2.00 , bagging all parts ,0.99,,,,,,,,,,
 pendant , TB15 , N Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.49,,,,,,,,,,
 pendant , TB15 , Power , Press Punch , CAD 1.00 ,punch hole in canopy,0.14,,,,,,,,,,
 pendant , TB15 , Power , Mounting Kits , CAD 2.00 ,bagging all parts,0.99,,,,,,,,,,
 pendant , TB9 , N Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.49,,,,,,,,,,
 pendant , TB9 , Power , Press Punch , CAD 1.00 , punch hole in canopy ,0.14,,,,,,,,,,
 pendant , TB9 , Power , Mounting Kits , CAD 2.00 , bagging all parts ,0.99,,,,,,,,,,
 pendant , TG15 , N Power , Mounting Kits , CAD 1.00 ,bagging all parts,0.49,,,,,,,,,,
 pendant , TG15 , Power , Press Punch , CAD 1.00 ,punch hole in canopy,0.14,,,,,,,,,,
 pendant , TG15 , Power , Mounting Kits , CAD 2.00 ,bagging all parts,0.99,,,,,,,,,,
 pendant , TG9 , N Power , Mounting Kits , CAD 1.00 , bagging all parts ,0.49,,,,,,,,,,
 pendant , TG9 , Power , Press Punch , CAD 1.00 , punch hole in canopy ,0.14,,,,,,,,,,
 pendant , TG9 , Power , Mounting Kits , CAD 2.00 , bagging all parts ,0.99,,,,,,,,,,
 recessed , D , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , D , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , D , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , DB , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , DB , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , DB , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , DF , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , DF , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , DF , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
 recessed , DS , - , Mounting Kits , CAD 1.00 , assembly 2 side bracket on top bracket (4pop rivet) ,0.80,,,,,,,,,,
 recessed , DS , - , Mounting Kits , CAD 2.00 , screwed bolt & nut together ,0.20,,,,,,,,,,
 recessed , DS , - , Mounting Kits , CAD 3.00 , put in bag ,0.20,,,,,,,,,,
