 Product ID , Description , Packaging , Work Center , Option , Length , ID , Task , Time (min) ,Sum of Time (min),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101CWA,-,Standard Packaging (Silicone),Assembly,packstandsil,12,13,put end carton,0.31,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CWA,-,Standard Packaging (Silicone),Assembly,packstandsil,12,14,middle pad (1),1.29,BBWD,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CWA,-,Standard Packaging (Silicone),Assembly,packstandsil,12,15,put end carton,0.48,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CWA,-,Standard Packaging (Silicone),Assembly,packstandsil,12,16,bring to palet,0.31,BBWDILED,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CWA,-,Standard Packaging (Silicone),Packaging,packstandsil,4,17,shrinking machine*,1.04,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CWA,-,Standard Packaging (Silicone),Packaging,packstandsil,8,17,shrinking machine*,1.18,BBWDLED,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CWA,-,Standard Packaging (Silicone),Packaging,packstandsil,12,17,shrinking machine*,1.24,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CWA,-,Standard Packaging (Silicone),Assembly,packstandsil,4,1,sub: form 2 ends carton*,0.58,BBWDLEDPAT,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CWA,-,Standard Packaging (Silicone),Assembly,packstandsil,4,2,sub: cut foam for pad*,0.135,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CWA,-,Standard Packaging (Silicone),Assembly,packstandsil,8,1,sub: form 2 ends carton*,0.58,BBWDPAT,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CWA,-,Standard Packaging (Silicone),Assembly,packstandsil,8,2,sub: cut foam for pad*,0.225,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CWA,-,Standard Packaging (Silicone),Assembly,packstandsil,12,1,sub: form 2 ends carton*,0.58,BBWI,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101CWA,-,Standard Packaging (Silicone),Assembly,packstandsil,12,2,sub: cut foam for pad*,0.315,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101F,-,Standard Packaging (Silicone),Assembly,packstandsil,4,3,bring product to station,0.1,BBWILED,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101F,-,Standard Packaging (Silicone),Assembly,packstandsil,4,4,dielectric test,0.3,-,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
101F,-,Standard Packaging (Silicone),Assembly,packstandsil,4,5,clean ,0.48,BBWILEDPAT,4.115,5.285,6.535,,,,,,,,,,,,15.935,1.04,1.18,1.24,,,,,,,,,,3.46,19.395
