 Section , Fixture Type , Circuit , Kind Of Ballast/Driver , Work Center , Wires Qty , Option , ID , Task , Time (min) ,,Sum of Time (min),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,pendant,2,BI,Assembly,4,ewdbi2p,1,bring exit wires to exit#1,0.15,,E,1.68,,,,1.68,0.1,,,,0.1,0.38,,,,0.38,1.4,,,,1.4,,,,,,3.56,
SR1,pendant,2,BI,Assembly,4,ewdbi2p,2,bring exit wires to exit#2,0,,ERS,1.68,,,,1.68,0.1,,,,0.1,0.38,,,,0.38,1.4,,,,1.4,,,,,,3.56,
SR1,pendant,2,BI,Assembly,4,ewdbi2p,3,bring power wires for continious row,0.1,,BI,,1.95,,,1.95,,0.1,,,0.1,,0.44,,,0.44,,1.61,,,1.61,,,,,,4.1,
SR1,pendant,2,BI,Assembly,4,ewdbi2p,4,plug 4x pc252 connectors for continius row wires,0.24,,LT,,,,2.82,2.82,,,,0.1,0.1,,,,0.56,0.56,,,,2.36,2.36,,,,,,5.84,
SR1,pendant,2,BI,Assembly,4,ewdbi2p,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,DP,,,2.3,2.65,4.95,,,0.1,0.1,0.2,,,0.55,0.56,1.11,,,1.85,2.19,4.04,,,,,,10.3,
SR1,pendant,2,BI,Assembly,4,ewdbi2p,6,turn power cords,0.17,,Grid,,,,,,,,,,,,,,,,,,,,,0.3,0.15,0.3,0.15,0.9,0.9,
SRM,pendant,2,BI,Assembly,4,ewdbi2p,1,bring exit wires to exit#1,0,,D,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.15,0.15,
SRM,pendant,2,BI,Assembly,4,ewdbi2p,2,bring exit wires to exit#2,0,,E,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.15,0.15,
SRM,pendant,2,BI,Assembly,4,ewdbi2p,3,bring power wires for continious row,0.2,,ERS,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.15,0.15,
SRM,pendant,2,BI,Assembly,4,ewdbi2p,4,plug 4x pc252 connectors for continius row wires,0.24,,BI,,,,,,,,,,,,,,,,,,,,,,0.15,,,0.15,0.15,
SRM,pendant,2,BI,Assembly,4,ewdbi2p,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0,,LT,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.15,0.15,
SRM,pendant,2,BI,Assembly,4,ewdbi2p,6,turn power cords,0,,DP,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.15,0.15,
SRE,pendant,2,BI,Assembly,4,ewdbi2p,1,bring exit wires to exit#1,0,,Grid LED,,,,,,,,,,,,,,,,,,,,,0.3,0.15,0.3,0.15,0.9,0.9,
SRE,pendant,2,BI,Assembly,4,ewdbi2p,2,bring exit wires to exit#2,0.15,,D,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.15,0.15,
SRE,pendant,2,BI,Assembly,4,ewdbi2p,3,bring power wires for continious row,0.1,,E,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.15,0.15,
SRE,pendant,2,BI,Assembly,4,ewdbi2p,4,plug 4x pc252 connectors for continius row wires,0,,ERS,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.15,0.15,
SRE,pendant,2,BI,Assembly,4,ewdbi2p,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,BI,,,,,,,,,,,,,,,,,,,,,,0.15,,,0.15,0.15,
SRE,pendant,2,BI,Assembly,4,ewdbi2p,6,turn power cords,0.17,,LT,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.15,0.15,
Complete Section,pendant,2A/B,BI,Assembly,4,ewdbi2p,1,bring exit wires to exit#1,0.15,,DP,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.15,0.15,
Complete Section,pendant,2A/B,BI,Assembly,4,ewdbi2p,2,bring exit wires to exit#2,0.15,,2,13.02,6.51,17.71,17.46,54.7,0.8,5.55,15.01,14.58,35.94,3.52,1.76,4.5,4.48,14.26,10.3,10.3,28.22,27.56,76.38,0.6,0.6,1.2,0.6,3,184.28,
Complete Section,pendant,2A/B,BI,Assembly,4,ewdbi2p,3,bring power wires for continious row,0,,pendant,4.24,2.12,7.41,2.82,16.59,0.2,1.88,6.51,2.46,11.05,0.88,0.44,1.5,0.56,3.38,3.56,3.56,12.42,4.72,24.26,,,,,,55.28,
Complete Section,pendant,2A/B,BI,Assembly,4,ewdbi2p,4,plug 4x pc252 connectors for continius row wires,0,,D,,,2.47,,2.47,,,2.17,,2.17,,,0.5,,0.5,,,4.14,,4.14,,,,,,9.28,
Complete Section,pendant,2A/B,BI,Assembly,4,ewdbi2p,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,2.92,,E,2.12,,,,2.12,0.1,,,,0.1,0.44,,,,0.44,1.78,,,,1.78,,,,,,4.44,
Complete Section,pendant,2A/B,BI,Assembly,4,ewdbi2p,6,turn power cords,0.34,,ERS,2.12,,,,2.12,0.1,,,,0.1,0.44,,,,0.44,1.78,,,,1.78,,,,,,4.44,
SR1,pendant,2A/B,BI,Assembly,4,ewdbi2p,1,bring exit wires to exit#1,0.15,,BI,,2.12,,,2.12,,1.88,,,1.88,,0.44,,,0.44,,3.56,,,3.56,,,,,,8,
SR1,pendant,2A/B,BI,Assembly,4,ewdbi2p,2,bring exit wires to exit#2,0,,LT,,,,2.82,2.82,,,,2.46,2.46,,,,0.56,0.56,,,,4.72,4.72,,,,,,10.56,
SR1,pendant,2A/B,BI,Assembly,4,ewdbi2p,3,bring power wires for continious row,0.1,,MD,,,2.47,,2.47,,,2.17,,2.17,,,0.5,,0.5,,,4.14,,4.14,,,,,,9.28,
SR1,pendant,2A/B,BI,Assembly,4,ewdbi2p,4,plug 4x pc252 connectors for continius row wires,0.24,,DP,,,2.47,,2.47,,,2.17,,2.17,,,0.5,,0.5,,,4.14,,4.14,,,,,,9.28,
SR1,pendant,2A/B,BI,Assembly,4,ewdbi2p,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,recessed,0.98,0.49,1.1,1.22,3.79,0.2,0.25,0.5,0.5,1.45,0.88,0.44,1,1.12,3.44,0.3,0.3,0.6,0.6,1.8,,,,,,10.48,
SR1,pendant,2A/B,BI,Assembly,4,ewdbi2p,6,turn power cords,0.17,,D,,,0.55,,0.55,,,0.25,,0.25,,,0.5,,0.5,,,0.3,,0.3,,,,,,1.6,
SRM,pendant,2A/B,BI,Assembly,4,ewdbi2p,1,bring exit wires to exit#1,0,,E,0.49,,,,0.49,0.1,,,,0.1,0.44,,,,0.44,0.15,,,,0.15,,,,,,1.18,
SRM,pendant,2A/B,BI,Assembly,4,ewdbi2p,2,bring exit wires to exit#2,0,,ERS,0.49,,,,0.49,0.1,,,,0.1,0.44,,,,0.44,0.15,,,,0.15,,,,,,1.18,
SRM,pendant,2A/B,BI,Assembly,4,ewdbi2p,3,bring power wires for continious row,0.2,,BI,,0.49,,,0.49,,0.25,,,0.25,,0.44,,,0.44,,0.3,,,0.3,,,,,,1.48,
SRM,pendant,2A/B,BI,Assembly,4,ewdbi2p,4,plug 4x pc252 connectors for continius row wires,0.24,,LT,,,,1.22,1.22,,,,0.5,0.5,,,,1.12,1.12,,,,0.6,0.6,,,,,,3.44,
SRM,pendant,2A/B,BI,Assembly,4,ewdbi2p,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,0,,DP,,,0.55,,0.55,,,0.25,,0.25,,,0.5,,0.5,,,0.3,,0.3,,,,,,1.6,
SRM,pendant,2A/B,BI,Assembly,4,ewdbi2p,6,turn power cords,0,,surface,3.9,1.95,4.6,5.3,15.75,0.2,1.71,4,4.58,10.49,0.88,0.44,1,1.12,3.44,3.22,3.22,7.6,8.76,22.8,,,,,,52.48,
SRE,pendant,2A/B,BI,Assembly,4,ewdbi2p,1,bring exit wires to exit#1,0,,D,,,2.3,2.65,4.95,,,2,2.29,4.29,,,0.5,0.56,1.06,,,3.8,4.38,8.18,,,,,,18.48,
SRE,pendant,2A/B,BI,Assembly,4,ewdbi2p,2,bring exit wires to exit#2,0.15,,E,1.95,,,,1.95,0.1,,,,0.1,0.44,,,,0.44,1.61,,,,1.61,,,,,,4.1,
SRE,pendant,2A/B,BI,Assembly,4,ewdbi2p,3,bring power wires for continious row,0.1,,ERS,1.95,,,,1.95,0.1,,,,0.1,0.44,,,,0.44,1.61,,,,1.61,,,,,,4.1,
SRE,pendant,2A/B,BI,Assembly,4,ewdbi2p,4,plug 4x pc252 connectors for continius row wires,0,,BI,,1.95,,,1.95,,1.71,,,1.71,,0.44,,,0.44,,3.22,,,3.22,,,,,,7.32,
SRE,pendant,2A/B,BI,Assembly,4,ewdbi2p,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46,,DP,,,2.3,2.65,4.95,,,2,2.29,4.29,,,0.5,0.56,1.06,,,3.8,4.38,8.18,,,,,,18.48,
SRE,pendant,2A/B,BI,Assembly,4,ewdbi2p,6,turn power cords,0.17,,wall,3.9,1.95,4.6,8.12,18.57,0.2,1.71,4,7.04,12.95,0.88,0.44,1,1.68,4,3.22,3.22,7.6,13.48,27.52,,,,,,63.04,
Complete Section,recessed,1,BI,Assembly,4,ewdbi1r,1,bring exit wires to exit#1,0.15,,D,,,2.3,2.65,4.95,,,2,2.29,4.29,,,0.5,0.56,1.06,,,3.8,4.38,8.18,,,,,,18.48,
Complete Section,recessed,1,BI,Assembly,4,ewdbi1r,2,bring power wires for continious row,0,,E,1.95,,,,1.95,0.1,,,,0.1,0.44,,,,0.44,1.61,,,,1.61,,,,,,4.1,
Complete Section,recessed,1,BI,Assembly,4,ewdbi1r,3,plug 4x pc252 connectors for continius row wires,0,,ERS,1.95,,,,1.95,0.1,,,,0.1,0.44,,,,0.44,1.61,,,,1.61,,,,,,4.1,
SR1,recessed,1,BI,Assembly,4,ewdbi1r,1,bring exit wires to exit#1,0.15,,BI,,1.95,,,1.95,,1.71,,,1.71,,0.44,,,0.44,,3.22,,,3.22,,,,,,7.32,
SR1,recessed,1,BI,Assembly,4,ewdbi1r,2,bring power wires for continious row,0.1,,LT,,,,2.82,2.82,,,,2.46,2.46,,,,0.56,0.56,,,,4.72,4.72,,,,,,10.56,
SR1,recessed,1,BI,Assembly,4,ewdbi1r,3,plug 4x pc252 connectors for continius row wires,0.24,,DP,,,2.3,2.65,4.95,,,2,2.29,4.29,,,0.5,0.56,1.06,,,3.8,4.38,8.18,,,,,,18.48,
SRM,recessed,1,BI,Assembly,4,ewdbi1r,1,bring exit wires to exit#1,0,,Grid,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.6,0.3,1.5,1.5,
SRM,recessed,1,BI,Assembly,4,ewdbi1r,2,bring power wires for continious row,0.2,,D,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,0.3,
SRM,recessed,1,BI,Assembly,4,ewdbi1r,3,plug 4x pc252 connectors for continius row wires,0.24,,E,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.15,0.15,
SRE,recessed,1,BI,Assembly,4,ewdbi1r,1,bring exit wires to exit#1,0,,ERS,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.15,0.15,
SRE,recessed,1,BI,Assembly,4,ewdbi1r,2,bring power wires for continious row,0.1,,BI,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.3,0.3,
SRE,recessed,1,BI,Assembly,4,ewdbi1r,3,plug 4x pc252 connectors for continius row wires,0,,LT,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,
Complete Section,recessed,2,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0.15,,DP,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,0.3,
Complete Section,recessed,2,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0.15,,Grid LED,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.6,0.3,1.5,1.5,
