Product ID,Lighting,Fixture Type,Option,Work Center,ID,Task,Time(min),,,,Sum of Time(min),Column Labels,,,
BBWI,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6WD,,0.88,,0.88
BBWILED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6WDLED,,0.5,,0.5
BBWILEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6WDLEDPAT,,0.5,,0.5
BBWIPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6WDPAT,,0.88,,0.88
BBWLEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6WI,,0.88,,0.88
BBWPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6WILED,,0.5,,0.5
BD,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6WILEDPAT,,0.5,,0.5
BDI,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6WIPAT,,0.88,,0.88
BDIW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,B6WLEDPAT,,0.5,,0.5
BDLED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,B6WPAT,,0.88,,0.88
BDLEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BAS,,,0.6,0.6
BDPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BASA,,,0.6,0.6
BI,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BASS,,,0.6,0.6
BILED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BASW,,,0.6,0.6
BILEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BASWA,,,0.6,0.6
BIPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BB,,0.88,,0.88
BLEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBD,,0.88,,0.88
BMD,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BBDILED,,0.5,,0.5
BMDLED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBDILEDPAT,,0.5,,0.5
BMDLEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBDLED,,0.5,,0.5
BMDPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BBDLEDPAT,,0.5,,0.5
BMI,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BBDPAT,,0.88,,0.88
BMILED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBI,,0.88,,0.88
BMILEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBILED,,0.5,,0.5
BMIPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BBILED2,,0.5,,0.5
BMLEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBILEDPAT,,0.5,,0.5
BMR,fluorescent,recessed,itsfbl,Drill,2,Drill ITS holes(2) in cover blank,0.5,,,,BBIPAT,,0.88,,0.88
BMRLED,led,recessed,itslbl,Drill,2,Drill ITS hole(1) in cover blank,0.35,,,,BBLED2,,0.5,,0.5
BMRLEDPAT,led,recessed,itslbl,Drill,2,Drill ITS hole(1) in cover blank,0.35,,,,BBLEDPAT,,0.5,,0.5
BMRPAT,fluorescent,recessed,itsfbl,Drill,2,Drill ITS holes(2) in cover blank,0.5,,,,BBPAT,,0.88,,0.88
BMRV,fluorescent,recessed,itsfbl,Drill,2,Drill ITS holes(2) in cover blank,0.5,,,,BBR,,,0.6,0.6
BMRVLED,led,recessed,itslbl,Drill,2,Drill ITS hole(1) in cover blank,0.35,,,,BBRLED,,,0.32,0.32
BMS,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BBRLEDPAT,,,0.32,0.32
BMSLED,led,surface,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBRPAT,,,0.6,0.6
BMSLEDPAT,led,surface,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBRV,,,0.6,0.6
BMSPAT,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BBRVLED,,,0.32,0.32
BMWD,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BBS,,0.88,,0.88
BMWDLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBSLED,,0.5,,0.5
BMWDLEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBSLEDPAT,,0.5,,0.5
BMWDPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BBSPAT,,0.88,,0.88
BMWI,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BBW,,0.88,,0.88
BMWILED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBWD,,0.88,,0.88
BMWILEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBWDILED,,0.5,,0.5
BMWIPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BBWDLED,,0.5,,0.5
BMWLEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBWDLEDPAT,,0.5,,0.5
BMWPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BBWDPAT,,0.88,,0.88
BMWV,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BBWI,,0.88,,0.88
BMWVLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BBWILED,,0.5,,0.5
BR,fluorescent,recessed,itsfbl,Drill,2,Drill ITS holes(2) in cover blank,0.5,,,,BBWILEDPAT,,0.5,,0.5
BRLED,led,recessed,itslbl,Drill,2,Drill ITS hole(1) in cover blank,0.35,,,,BBWIPAT,,0.88,,0.88
BRLEDPAT,led,recessed,itslbl,Drill,2,Drill ITS hole(1) in cover blank,0.35,,,,BBWLEDPAT,,0.5,,0.5
BRPAT,fluorescent,recessed,itsfbl,Drill,2,Drill ITS holes(2) in cover blank,0.5,,,,BBWPAT,,0.88,,0.88
BRV,fluorescent,recessed,itsfbl,Drill,2,Drill ITS holes(2) in cover blank,0.5,,,,BD,,0.88,,0.88
BRVLED,led,recessed,itslbl,Drill,2,Drill ITS hole(1) in cover blank,0.35,,,,BDI,,0.88,,0.88
BS,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BDIW,,0.88,,0.88
BSLED,led,surface,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BDLED,,0.5,,0.5
BSLEDPAT,led,surface,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BDLEDPAT,,0.5,,0.5
BSPAT,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BDPAT,,0.88,,0.88
BWD,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BI,,0.88,,0.88
BWDLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BILED,,0.5,,0.5
BWDLEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BILEDPAT,,0.5,,0.5
BWDPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BIPAT,,0.88,,0.88
BWI,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BLEDPAT,,0.5,,0.5
BWILED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BMD,,0.88,,0.88
BWILEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BMDLED,,0.5,,0.5
BWIPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMDLEDPAT,,0.5,,0.5
BWLEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BMDPAT,,0.88,,0.88
BWPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMI,,0.88,,0.88
BWV,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMILED,,0.5,,0.5
BWVLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BMILEDPAT,,0.5,,0.5
D5,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMIPAT,,0.88,,0.88
D5S,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMLEDPAT,,0.5,,0.5
D5W,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMR,0.58,0.5,,1.08
EL,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMRLED,0.29,0.35,,0.64
ELS,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMRLEDPAT,0.29,0.35,,0.64
ELW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMRPAT,0.58,0.5,,1.08
FL,fluorescent,pendant,itsfbl,Drill,2,Drill ITS holes(2) in cover blank,0.5,,,,BMRV,0.58,0.5,,1.08
FLW,fluorescent,wall,itsfbl,Drill,2,Drill ITS holes(2) in cover blank,0.5,,,,BMRVLED,0.29,0.35,,0.64
MB,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMS,,0.88,,0.88
MBLED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BMSLED,,0.5,,0.5
MBS,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMSLEDPAT,,0.5,,0.5
MBSLED,led,surface,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BMSPAT,,0.88,,0.88
MBST,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMWD,,0.88,,0.88
MBT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMWDLED,,0.5,,0.5
MBW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMWDLEDPAT,,0.5,,0.5
MBWLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BMWDPAT,,0.88,,0.88
MBWT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMWI,,0.88,,0.88
MBWV,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMWILED,,0.5,,0.5
MBWVLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BMWILEDPAT,,0.5,,0.5
PICD,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMWIPAT,,0.88,,0.88
PICI,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMWLEDPAT,,0.5,,0.5
PICR,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMWPAT,,0.88,,0.88
PICWD,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMWV,,0.88,,0.88
PICWI,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BMWVLED,,0.5,,0.5
PICWR,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BR,0.58,0.5,,1.08
PMD,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BRLED,0.29,0.35,,0.64
PMI,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BRLEDPAT,0.29,0.35,,0.64
PMR,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BRPAT,0.58,0.5,,1.08
PMRLED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BRV,0.58,0.5,,1.08
PMWD,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BRVLED,0.29,0.35,,0.64
PMWI,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BS,,0.88,,0.88
PMWR,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BSLED,,0.5,,0.5
PR,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BSLEDPAT,,0.5,,0.5
PRLED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BSPAT,,0.88,,0.88
PRS,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BWD,,0.88,,0.88
PRSLED,led,surface,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BWDLED,,0.5,,0.5
PRW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BWDLEDPAT,,0.5,,0.5
PRWLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BWDPAT,,0.88,,0.88
PW,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BWI,,0.88,,0.88
PWLED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BWILED,,0.5,,0.5
PWS,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BWILEDPAT,,0.5,,0.5
PWSLED,led,surface,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BWIPAT,,0.88,,0.88
PWW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,BWLEDPAT,,0.5,,0.5
PWWLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BWPAT,,0.88,,0.88
SCD,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BWV,,0.88,,0.88
SCDI,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,BWVLED,,0.5,,0.5
SCR,fluorescent,pendant,itsfbl,Drill,2,Drill ITS holes(2) in cover blank,0.5,,,,CU,,,0.6,0.6
SCRPAT,fluorescent,pendant,itsfbl,Drill,2,Drill ITS holes(2) in cover blank,0.5,,,,CUA,,,0.6,0.6
SCRV,fluorescent,pendant,itsfbl,Drill,2,Drill ITS holes(2) in cover blank,0.5,,,,CUB,,,0.6,0.6
SCS,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,CUBA,,,0.6,0.6
SCWD,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,CUBS,,,0.6,0.6
SCWDI,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,CUBW,,,0.6,0.6
SKPLED,fluorescent,pendant,itsfbl,Drill,2,Drill ITS holes(2) in cover blank,0.5,,,,CUBWA,,,0.6,0.6
SL2HLED,led,pendant,itslext,Drill,1,Drill ITS hole(1) on extrusion,0.47,,,,CUS,,,0.6,0.6
SL2LLED,led,pendant,itslext,Drill,1,Drill ITS hole(1) on extrusion,0.47,,,,CUW,,,0.6,0.6
SOL,fluorescent,pendant,itsfext,Drill,1,Drill ITS holes(2) on extrusion,0.83,,,,CUWA,,,0.6,0.6
SOLS,fluorescent,surface,itsfext,Drill,1,Drill ITS holes(2) on extrusion,0.83,,,,D5,,0.88,,0.88
SOLW,fluorescent,wall,itsfext,Drill,1,Drill ITS holes(2) on extrusion,0.83,,,,D5S,,0.88,,0.88
SU,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,D5W,,0.88,,0.88
SUA,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,DAYC,,,0.6,0.6
SUS,fluorescent,surface,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,DAYCLED,,,0.32,0.32
SUW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,DAYF,,,0.6,0.6
SUWA,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,DAYFLED,,,0.32,0.32
TB,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,DIA,,,0.6,0.6
TBDILED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,DIALED,,,0.32,0.32
TBDILEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,DUO,,,0.6,0.6
TBDLED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,EL,,0.88,,0.88
TBDLEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,ELS,,0.88,,0.88
TBDPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,ELW,,0.88,,0.88
TBILED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,FL,0.58,0.5,,1.08
TBILEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,FLW,0.58,0.5,,1.08
TBIPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,L2,,,0.6,0.6
TBLEDPAT,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,L2A,,,0.6,0.6
TBPAT,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,L2S,,,0.6,0.6
TBW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,L2W,,,0.6,0.6
TBWDILED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,L2WA,,,0.6,0.6
TBWDILEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,LT,,,0.6,0.6
TBWDLED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,LTA,,,0.6,0.6
TBWDLEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,LTLED,,,0.32,0.32
TBWDPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,LTW,,,0.6,0.6
TBWILED,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,LTWA,,,0.6,0.6
TBWILEDPAT,led,wall,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,LTWLED,,,0.32,0.32
TBWIPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MB,,0.88,,0.88
TBWPAT,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MBLED,,0.5,,0.5
TWC,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MBS,,0.88,,0.88
TWCW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MBSLED,,0.5,,0.5
TWO,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MBST,,0.88,,0.88
TWOW,fluorescent,wall,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MBT,,0.88,,0.88
TWR,fluorescent,pendant,itsfec,Drill,1,Drill ITS holes(2) on end cap,0.88,,,,MBW,,0.88,,0.88
TWRLED,led,pendant,itslec,Drill,1,Drill ITS hole(1) on end cap,0.5,,,,MBWLED,,0.5,,0.5
