 Product ID , Work Center , Length , ID , Activity , Total time (min) ,,,Sum of Total time (min),Column Labels,,,,,,,,,,
SL,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
SL,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
SL,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
SL,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
SL,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
SL2HLED,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
SL2HLED,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
SL2HLED,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
SL2HLED,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
SL2HLED,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
SL2HLED,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
SL2LLED,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
SL2LLED,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
SL2LLED,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
SL2LLED,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
SL2LLED,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
SL2LLED,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
SLLED,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
SLLED,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
SLLED,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
SLLED,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
SLLED,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
SLLED,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
SLW,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
SLW,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
SLW,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
SLW,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
SLW,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
SLW,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
SLWLED,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
SLWLED,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
SLWLED,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
SLWLED,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
SLWLED,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
SLWLED,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
SU,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
SU,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
SU,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
SU,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
SU,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
SU,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
SUA,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
SUA,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
SUA,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
SUA,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
SUA,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
SUA,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
SUS,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
SUS,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
SUS,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
SUS,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
SUS,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
SUS,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
SUW,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
SUW,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
SUW,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
SUW,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
SUW,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
SUW,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
SUWA,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
SUWA,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
SUWA,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
SUWA,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
SUWA,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
SUWA,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
TWC,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
TWC,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
TWC,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
TWC,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
TWC,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
TWC,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
TWCW,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
TWCW,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
TWCW,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
TWCW,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
TWCW,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
TWCW,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
TWO,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
TWO,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
TWO,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
TWO,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
TWO,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
TWO,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
TWOW,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
TWOW,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
TWOW,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
TWOW,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
TWOW,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
TWOW,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
TWR,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
TWR,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
TWR,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
TWR,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
TWR,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
TWR,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
TWRLED,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
TWRLED,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
TWRLED,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
TWRLED,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
TWRLED,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
TWRLED,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
TWRW,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
TWRW,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
TWRW,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
TWRW,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
TWRW,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
TWRW,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
TWRWLED,Assembly,4,2,try up light reflector,0.17,,,,,,,,,,,,,,
TWRWLED,Assembly,4,3,try down light reflector,0.17,,,,,,,,,,,,,,
TWRWLED,Assembly,8,2,try up light reflector,0.25,,,,,,,,,,,,,,
TWRWLED,Assembly,8,3,try down light reflector,0.25,,,,,,,,,,,,,,
TWRWLED,Assembly,12,2,try up light reflector,0.33,,,,,,,,,,,,,,
TWRWLED,Assembly,12,3,try down light reflector,0.33,,,,,,,,,,,,,,
101C,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
101C,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
101C,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
101CA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
101CA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
101CA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
101CS,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
101CS,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
101CS,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
101CW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
101CW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
101CW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
101CWA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
101CWA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
101CWA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
101F,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
101F,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
101F,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
101FA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
101FA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
101FA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
101FW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
101FW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
101FW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
101FWA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
101FWA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
101FWA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
202C,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
202C,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
202C,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
202CA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
202CA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
202CA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
202CS,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
202CS,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
202CS,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
202CW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
202CW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
202CW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
202CWA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
202CWA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
202CWA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
202F,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
202F,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
202F,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
202FA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
202FA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
202FA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
202FW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
202FW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
202FW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
202FWA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
202FWA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
202FWA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
ARC,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
ARC,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
ARC,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
ARCA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
ARCA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
ARCA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
ARCW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
ARCW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
ARCW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
ARCWA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
ARCWA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
ARCWA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
BAS,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
BAS,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
BAS,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
BASA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
BASA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
BASA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
BASS,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
BASS,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
BASS,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
BASW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
BASW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
BASW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
BASWA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
BASWA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
BASWA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
CU,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
CU,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
CU,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
CUA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
CUA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
CUA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
CUB,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
CUB,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
CUB,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
CUBA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
CUBA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
CUBA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
CUBS,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
CUBS,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
CUBS,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
CUBW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
CUBW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
CUBW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
CUBWA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
CUBWA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
CUBWA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
CUS,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
CUS,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
CUS,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
CUW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
CUW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
CUW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
CUWA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
CUWA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
CUWA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
L2,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
L2A,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
L2A,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
L2A,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
L2S,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
L2S,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
L2S,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
L2W,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
L2W,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
L2W,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
L2WA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
L2WA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
L2WA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
L2,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
L2,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
LT,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
LT,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
LT,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
LTA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
LTA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
LTA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
LTW,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
LTW,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
LTW,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
LTWA,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
LTWA,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
LTWA,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
RAY3,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY3,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY3,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY3P,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY3P,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY3P,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY3S,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY3S,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY3S,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY3W,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY3W,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY3W,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY4,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY4,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY4,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY4P,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY4P,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY4P,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY4S,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY4S,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY4S,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY4W,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY4W,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY4W,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY6,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY6,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY6,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY6P,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY6P,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY6P,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY6S,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY6S,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY6S,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY6W,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY6W,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY6W,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY8,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY8,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY8,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY8P,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY8P,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY8P,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY8S,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY8S,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY8S,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
RAY8W,Preparation,4,1,"fix lens inside housing, turn housing up in air, remove lens",2,,,,,,,,,,,,,,
RAY8W,Preparation,8,1,"fix lens inside housing, turn housing up in air, remove lens",4,,,,,,,,,,,,,,
RAY8W,Preparation,12,1,"fix lens inside housing, turn housing up in air, remove lens",6,,,,,,,,,,,,,,
SK,Preparation,10003,1,Completed installation for final ,7.5,,,,,,,,,,,,,,
SK,Preparation,10005,1,Completed installation for final ,7.5,,,,,,,,,,,,,,
SK,Preparation,10008,1,Completed installation for final ,7.5,,,,,,,,,,,,,,
SK,Preparation,10013,1,Completed installation for final ,7.5,,,,,,,,,,,,,,
SK,Preparation,10018,1,Completed installation for final ,7.5,,,,,,,,,,,,,,
SK,Preparation,10023,1,Completed installation for final ,7.5,,,,,,,,,,,,,,
SL,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
SL,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
SL,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
SL2HLED,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
SL2HLED,Preparation,8,1,-suspended section to cable and adjust if necessary,8,,,,,,,,,,,,,,
SL2HLED,Preparation,12,1,-suspended section to cable and adjust if necessary,12,,,,,,,,,,,,,,
SL2LLED,Preparation,4,1,-suspended section to cable and adjust if necessary,4,,,,,,,,,,,,,,
