Family Product,Lighting,Nb Circuit,Length,Work Center,Lamp/Cartridge Qty,Option,ID,Task,Time (min),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,fluorescent,1,4,Assembly,1,lcswf1,5,Extend wires to reach socket,0,,led,0.47,,,,,,,,,,,,,,0.47,0.94,0.94,,,,,,,,,,,,,1.88,,,1.41,,,,,1.41,,1.88,,1.88,,,2.82,2.82,,,,,,,,,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,fluorescent,1,8,Assembly,1,lcswf1,5,Extend wires to reach socket,1.34,,2,0.47,,,,,,,,,,,,,,0.47,0.94,0.94,,,,,,,,,,,,,1.88,,,1.41,,,,,1.41,,1.88,,1.88,,,2.82,2.82,,,,,,,,,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,fluorescent,1,12,Assembly,1,lcswf1,5,Extend wires to reach socket,1.34,,led,0.47,,,,,,,,,,,,,,0.47,0.94,0.94,,,,,,,,,,,,,1.88,,,1.41,,,,,1.41,,1.88,,1.88,,,2.82,2.82,,,,,,,,,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,fluorescent,1,4,Assembly,1,lcswf1,6,Place wires,0.25,,2A/B,0.47,,,,,,,,,,,,,,0.47,0.94,0.94,,,,,,,,,,,,,1.88,,,1.41,,,,,1.41,,1.88,,1.88,,,2.82,2.82,,,,,,,,,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,fluorescent,1,8,Assembly,1,lcswf1,6,Place wires,0.5,,led,0.47,,,,,,,,,,,,,,0.47,0.94,0.94,,,,,,,,,,,,,1.88,,,1.41,,,,,1.41,,1.88,,1.88,,,2.82,2.82,,,,,,,,,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,fluorescent,1,12,Assembly,1,lcswf1,6,Place wires,0.75,,ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,fluorescent,1,4,Assembly,2,lcswf1,1,Clip 2 sockets on bracket or deflector,0.24,,1,0.94,3.04,4.16,,,,,,,,,,,,8.14,1.15,4.7,5.85,,,,,,,,,,,,11.7,2.24,8.22,9.75,,,,,20.21,2.45,10.09,12.15,24.69,,2.82,2.82,5.64,3.76,3.76,3.76,11.28,5.64,5.64,5.64,16.92,98.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,fluorescent,1,8,Assembly,2,lcswf1,1,Clip 2 sockets on bracket or deflector,0.48,,fluorescent,0.94,3.04,4.16,,,,,,,,,,,,8.14,1.15,4.7,5.85,,,,,,,,,,,,11.7,2.24,8.22,9.75,,,,,20.21,2.45,10.09,12.15,24.69,,,,,,,,,,,,,64.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,fluorescent,1,12,Assembly,2,lcswf1,1,Clip 2 sockets on bracket or deflector,0.72,,led,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,2.82,5.64,3.76,3.76,3.76,11.28,5.64,5.64,5.64,16.92,33.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR,fluorescent,1,4,Assembly,2,lcswf1,2,Plug 2 wires into 2 sockets,0.4,,2,0,0,0,,,,,,,,,,,,0,2.03,5.4,7.43,,,,,,,,,,,,14.86,2.24,8.22,10.14,,,,,20.6,2.45,11.04,12.15,25.64,,2.82,2.82,5.64,3.76,3.76,3.76,11.28,5.64,5.64,5.64,16.92,94.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
