 Product ID , Option , Section Type , Work Center , Task , Qty , Time (min) , Total Time (min) ,, Sum of Total Time (min) , Column Labels ,,,,,
ARLED,ahunger0,SRM,Assembly,Sub-assy is already in endcap bracket,1,0,0,, SR1 ,0.00,1.00,1.00,,,
B6,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.00,0.50,0.50,,,
B6,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.00,0.50,0.50,,,
B6,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,0.00,1.00,1.00,,,
B6,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, ARC ,3.90,3.00,6.90,,,
B6D,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.30,1.00,2.30,,,
B6D,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.65,0.50,1.15,,,
B6D,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.65,0.50,1.15,,,
B6D,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.30,1.00,2.30,,,
B6DLED,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, ARCA ,3.90,3.00,6.90,,,
B6DLED,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.30,1.00,2.30,,,
B6DLED,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.65,0.50,1.15,,,
B6DLED,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.65,0.50,1.15,,,
B6DLEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.30,1.00,2.30,,,
B6DLEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, ARCLED ,2.60,,2.60,,,
B6DLEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,0.65,,0.65,,,
B6DLEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.65,,0.65,,,
B6DPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.65,,0.65,,,
B6DPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,0.65,,0.65,,,
B6DPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, ARLED ,0.00,3.00,3.00,,,
B6DPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,0.00,1.00,1.00,,,
B6I,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.00,0.50,0.50,,,
B6I,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.00,0.50,0.50,,,
B6I,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,0.00,1.00,1.00,,,
B6I,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, B2SQDLED ,2.60,,2.60,,,
B6ILED,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,0.65,,0.65,,,
B6ILED,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.65,,0.65,,,
B6ILED,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.65,,0.65,,,
B6ILED,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,0.65,,0.65,,,
B6ILEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, B2SQILED ,2.60,,2.60,,,
B6ILEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,0.65,,0.65,,,
B6ILEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.65,,0.65,,,
B6ILEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.65,,0.65,,,
B6IPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,0.65,,0.65,,,
B6IPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, B6 ,3.72,3.00,6.72,,,
B6IPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.24,1.00,2.24,,,
B6IPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.62,0.50,1.12,,,
B6LEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.62,0.50,1.12,,,
B6LEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.24,1.00,2.24,,,
B6LEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, B6D ,3.72,3.00,6.72,,,
B6LEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.24,1.00,2.24,,,
B6PAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.62,0.50,1.12,,,
B6PAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.62,0.50,1.12,,,
B6PAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.24,1.00,2.24,,,
B6PAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, B6DILED ,,3.00,3.00,,,
BAS,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SR1 ,,1.00,1.00,,,
BAS,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRE ,,0.50,0.50,,,
BAS,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRM ,,0.50,0.50,,,
BAS,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, Complete Section ,,1.00,1.00,,,
BASA,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, B6DLED ,3.72,3.00,6.72,,,
BASA,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SR1 ,1.24,1.00,2.24,,,
BASA,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRE ,0.62,0.50,1.12,,,
BASA,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRM ,0.62,0.50,1.12,,,
BB,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.24,1.00,2.24,,,
BB,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, B6DLEDPAT ,3.72,3.00,6.72,,,
BB,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.24,1.00,2.24,,,
