 Product ID , Option , Section Type , Work Center , Task , Qty , Time (min) , Total Time (min) ,, Sum of Total Time (min) , Column Labels ,,,,,
BMDLEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.24,1.00,2.24,,,
BMDLEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, BBLED2 ,3.72,3.00,6.72,,,
BMDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.24,1.00,2.24,,,
BMDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.62,0.50,1.12,,,
BMDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.62,0.50,1.12,,,
BMDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.24,1.00,2.24,,,
BMI,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, BBLEDPAT ,3.72,3.00,6.72,,,
BMI,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.24,1.00,2.24,,,
BMI,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.62,0.50,1.12,,,
BMI,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.62,0.50,1.12,,,
BMILED,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.24,1.00,2.24,,,
BMILED,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, BBPAT ,3.72,3.00,6.72,,,
BMILED,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.24,1.00,2.24,,,
BMILED,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.62,0.50,1.12,,,
BMILEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.62,0.50,1.12,,,
BMILEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.24,1.00,2.24,,,
BMILEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, BD ,3.72,3.00,6.72,,,
BMILEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.24,1.00,2.24,,,
BMIPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.62,0.50,1.12,,,
BMIPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.62,0.50,1.12,,,
BMIPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.24,1.00,2.24,,,
BMIPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, BDI ,1.50,3.00,4.50,,,
BMLEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,0.50,1.00,1.50,,,
BMLEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.25,0.50,0.75,,,
BMLEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.25,0.50,0.75,,,
BMLEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,0.50,1.00,1.50,,,
CU,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, BDLED ,3.72,3.00,6.72,,,
CU,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SR1 ,1.24,1.00,2.24,,,
CU,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRE ,0.62,0.50,1.12,,,
CU,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRM ,0.62,0.50,1.12,,,
CUA,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, Complete Section ,1.24,1.00,2.24,,,
CUA,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, BDLEDPAT ,3.72,3.00,6.72,,,
CUA,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SR1 ,1.24,1.00,2.24,,,
CUA,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRE ,0.62,0.50,1.12,,,
CUB,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRM ,0.62,0.50,1.12,,,
CUB,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, Complete Section ,1.24,1.00,2.24,,,
CUB,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, BDPAT ,3.72,3.00,6.72,,,
CUB,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SR1 ,1.24,1.00,2.24,,,
CUBA,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRE ,0.62,0.50,1.12,,,
CUBA,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRM ,0.62,0.50,1.12,,,
CUBA,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, Complete Section ,1.24,1.00,2.24,,,
CUBA,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, BI ,3.72,3.00,6.72,,,
D5,ahunger3,Complete Section,Assembly,slide hanger & tight with set-screw,2,0.31,0.62,, SR1 ,1.24,1.00,2.24,,,
D5,ahunger3,SR1,Assembly,slide hanger & tight with set-screw,2,0.31,0.62,, SRE ,0.62,0.50,1.12,,,
D5,ahunger3,SRE,Assembly,slide hanger & tight with set-screw,1,0.31,0.31,, SRM ,0.62,0.50,1.12,,,
D5,ahunger3,SRM,Assembly,slide hanger & tight with set-screw,1,0.31,0.31,, Complete Section ,1.24,1.00,2.24,,,
EL,ahunger3,Complete Section,Assembly,Slide hanger & tight with set-screw,2,0.31,0.62,, BILED ,3.72,3.00,6.72,,,
EL,ahunger3,SR1,Assembly,Slide hanger & tight with set-screw,2,0.31,0.62,, SR1 ,1.24,1.00,2.24,,,
EL,ahunger3,SRE,Assembly,Slide hanger & tight with set-screw,1,0.31,0.31,, SRE ,0.62,0.50,1.12,,,
EL,ahunger3,SRM,Assembly,Slide hanger & tight with set-screw,1,0.31,0.31,, SRM ,0.62,0.50,1.12,,,
FL,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, Complete Section ,1.24,1.00,2.24,,,
FL,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, BILEDPAT ,3.72,3.00,6.72,,,
FL,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SR1 ,1.24,1.00,2.24,,,
FL,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRE ,0.62,0.50,1.12,,,
L2,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRM ,0.62,0.50,1.12,,,
L2,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, Complete Section ,1.24,1.00,2.24,,,
L2,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, BIPAT ,3.72,3.00,6.72,,,
L2,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SR1 ,1.24,1.00,2.24,,,
L2A,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRE ,0.62,0.50,1.12,,,
L2A,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRM ,0.62,0.50,1.12,,,
L2A,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, Complete Section ,1.24,1.00,2.24,,,
L2A,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, BLEDPAT ,3.72,3.00,6.72,,,
LT,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SR1 ,1.24,1.00,2.24,,,
LT,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRE ,0.62,0.50,1.12,,,
LT,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRM ,0.62,0.50,1.12,,,
LT,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, Complete Section ,1.24,1.00,2.24,,,
LTA,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, BMD ,3.72,3.00,6.72,,,
LTA,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SR1 ,1.24,1.00,2.24,,,
LTA,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRE ,0.62,0.50,1.12,,,
LTA,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRM ,0.62,0.50,1.12,,,
MB,ahunger3,Complete Section,Assembly,Slide hanger & tight with set-screw,2,0.31,0.62,, Complete Section ,1.24,1.00,2.24,,,
MB,ahunger3,SR1,Assembly,Slide hanger & tight with set-screw,2,0.31,0.62,, BMDLED ,3.72,3.00,6.72,,,
MB,ahunger3,SRE,Assembly,Slide hanger & tight with set-screw,1,0.31,0.31,, SR1 ,1.24,1.00,2.24,,,
MB,ahunger3,SRM,Assembly,Slide hanger & tight with set-screw,1,0.31,0.31,, SRE ,0.62,0.50,1.12,,,
MBLED,ahunger3,Complete Section,Assembly,Slide hanger & tight with set-screw,2,0.31,0.62,, SRM ,0.62,0.50,1.12,,,
MBLED,ahunger3,SR1,Assembly,Slide hanger & tight with set-screw,2,0.31,0.62,, Complete Section ,1.24,1.00,2.24,,,
MBLED,ahunger3,SRE,Assembly,Slide hanger & tight with set-screw,1,0.31,0.31,, BMDLEDPAT ,3.72,3.00,6.72,,,
MBLED,ahunger3,SRM,Assembly,Slide hanger & tight with set-screw,1,0.31,0.31,, SR1 ,1.24,1.00,2.24,,,
PICD,ahunger5,Complete Section,Assembly,screwed griplock on cable (XO)+masking tape,2,0.42,0.84,, SRE ,0.62,0.50,1.12,,,
PICD,ahunger5,SR1,Assembly,screwed griplock on cable (XO)+masking tape,2,0.42,0.84,, SRM ,0.62,0.50,1.12,,,
PICD,ahunger5,SRE,Assembly,screwed griplock on cable (XO)+masking tape,1,0.42,0.42,, Complete Section ,1.24,1.00,2.24,,,
PICD,ahunger5,SRM,Assembly,screwed griplock on cable (XO)+masking tape,1,0.42,0.42,, BMDPAT ,3.72,3.00,6.72,,,
PICI,ahunger7,Complete Section,Assembly,screwed sub-assy bracket on housing,2,0.25,0.5,, SR1 ,1.24,1.00,2.24,,,
PICI,ahunger7,SR1,Assembly,screwed sub-assy bracket on housing,2,0.25,0.5,, SRE ,0.62,0.50,1.12,,,
PICI,ahunger7,SRE,Assembly,screwed sub-assy bracket on housing,1,0.25,0.25,, SRM ,0.62,0.50,1.12,,,
PICI,ahunger7,SRM,Assembly,screwed sub-assy bracket on housing,1,0.25,0.25,, Complete Section ,1.24,1.00,2.24,,,
PMD,ahunger5,Complete Section,Assembly,screwed griplock on cable (XO)+masking tape,2,0.42,0.84,, BMI ,3.72,3.00,6.72,,,
PMD,ahunger5,SR1,Assembly,screwed griplock on cable (XO)+masking tape,2,0.42,0.84,, SR1 ,1.24,1.00,2.24,,,
PMD,ahunger5,SRE,Assembly,screwed griplock on cable (XO)+masking tape,1,0.42,0.42,, SRE ,0.62,0.50,1.12,,,
PMD,ahunger5,SRM,Assembly,screwed griplock on cable (XO)+masking tape,1,0.42,0.42,, SRM ,0.62,0.50,1.12,,,
PMI,ahunger7,Complete Section,Assembly,screwed sub-assy bracket on housing,2,0.25,0.5,, Complete Section ,1.24,1.00,2.24,,,
PMI,ahunger7,SR1,Assembly,screwed sub-assy bracket on housing,2,0.25,0.5,, BMILED ,3.72,3.00,6.72,,,
PMI,ahunger7,SRE,Assembly,screwed sub-assy bracket on housing,1,0.25,0.25,, SR1 ,1.24,1.00,2.24,,,
PMI,ahunger7,SRM,Assembly,screwed sub-assy bracket on housing,1,0.25,0.25,, SRE ,0.62,0.50,1.12,,,
PR,ahunger0,Complete Section,Assembly,Sub-assy is already in endcap bracket,2,0,0,, SRM ,0.62,0.50,1.12,,,
PR,ahunger0,SR1,Assembly,Sub-assy is already in endcap bracket,2,0,0,, Complete Section ,1.24,1.00,2.24,,,
PR,ahunger0,SRE,Assembly,Sub-assy is already in endcap bracket,1,0,0,, BMILEDPAT ,3.72,3.00,6.72,,,
PR,ahunger0,SRM,Assembly,Sub-assy is already in endcap bracket,1,0,0,, SR1 ,1.24,1.00,2.24,,,
PRLED,ahunger0,Complete Section,Assembly,Sub-assy is already in endcap bracket,2,0,0,, SRE ,0.62,0.50,1.12,,,
PRLED,ahunger0,SR1,Assembly,Sub-assy is already in endcap bracket,2,0,0,, SRM ,0.62,0.50,1.12,,,
PRLED,ahunger0,SRE,Assembly,Sub-assy is already in endcap bracket,1,0,0,, Complete Section ,1.24,1.00,2.24,,,
PRLED,ahunger0,SRM,Assembly,Sub-assy is already in endcap bracket,1,0,0,, BMIPAT ,3.72,3.00,6.72,,,
PW,ahunger0,Complete Section,Assembly,Sub-assy is already in endcap bracket,2,0,0,, SR1 ,1.24,1.00,2.24,,,
PW,ahunger0,SR1,Assembly,Sub-assy is already in endcap bracket,2,0,0,, SRE ,0.62,0.50,1.12,,,
PW,ahunger0,SRE,Assembly,Sub-assy is already in endcap bracket,1,0,0,, SRM ,0.62,0.50,1.12,,,
PW,ahunger0,SRM,Assembly,Sub-assy is already in endcap bracket,1,0,0,, Complete Section ,1.24,1.00,2.24,,,
PWLED,ahunger0,Complete Section,Assembly,Sub-assy is already in endcap bracket,2,0,0,, BMLEDPAT ,3.72,3.00,6.72,,,
PWLED,ahunger0,SR1,Assembly,Sub-assy is already in endcap bracket,2,0,0,, SR1 ,1.24,1.00,2.24,,,
PWLED,ahunger0,SRE,Assembly,Sub-assy is already in endcap bracket,1,0,0,, SRE ,0.62,0.50,1.12,,,
PWLED,ahunger0,SRM,Assembly,Sub-assy is already in endcap bracket,1,0,0,, SRM ,0.62,0.50,1.12,,,
RAY3P,ahunger0,Complete Section,Assembly,Sub-assy is already in endcap bracket,2,0,0,, Complete Section ,1.24,1.00,2.24,,,
RAY3P,ahunger0,SR1,Assembly,Sub-assy is already in endcap bracket,2,0,0,, CLKLED ,1.60,,1.60,,,
RAY3P,ahunger0,SRE,Assembly,Sub-assy is already in endcap bracket,1,0,0,, SR1 ,0.40,,0.40,,,
RAY3P,ahunger0,SRM,Assembly,Sub-assy is already in endcap bracket,1,0,0,, SRE ,0.40,,0.40,,,
RAY4P,ahunger0,Complete Section,Assembly,Sub-assy is already in endcap bracket,2,0,0,, SRM ,0.40,,0.40,,,
RAY4P,ahunger0,SR1,Assembly,Sub-assy is already in endcap bracket,2,0,0,, Complete Section ,0.40,,0.40,,,
RAY4P,ahunger0,SRE,Assembly,Sub-assy is already in endcap bracket,1,0,0,, CU ,3.90,3.00,6.90,,,
RAY4P,ahunger0,SRM,Assembly,Sub-assy is already in endcap bracket,1,0,0,, SR1 ,1.30,1.00,2.30,,,
RAY6P,ahunger0,Complete Section,Assembly,Sub-assy is already in endcap bracket,2,0,0,, SRE ,0.65,0.50,1.15,,,
RAY6P,ahunger0,SR1,Assembly,Sub-assy is already in endcap bracket,2,0,0,, SRM ,0.65,0.50,1.15,,,
RAY6P,ahunger0,SRE,Assembly,Sub-assy is already in endcap bracket,1,0,0,, Complete Section ,1.30,1.00,2.30,,,
RAY6P,ahunger0,SRM,Assembly,Sub-assy is already in endcap bracket,1,0,0,, CUA ,3.90,3.00,6.90,,,
RAY8P,ahunger0,Complete Section,Assembly,Sub-assy is already in endcap bracket,2,0,0,, SR1 ,1.30,1.00,2.30,,,
RAY8P,ahunger0,SR1,Assembly,Sub-assy is already in endcap bracket,2,0,0,, SRE ,0.65,0.50,1.15,,,
RAY8P,ahunger0,SRE,Assembly,Sub-assy is already in endcap bracket,1,0,0,, SRM ,0.65,0.50,1.15,,,
RAY8P,ahunger0,SRM,Assembly,Sub-assy is already in endcap bracket,1,0,0,, Complete Section ,1.30,1.00,2.30,,,
SL,ahunger5,Complete Section,Assembly,screwed griplock on cable (XO)+masking tape,2,0.42,0.84,, CUB ,3.90,3.00,6.90,,,
SL,ahunger5,SR1,Assembly,screwed griplock on cable (XO)+masking tape,2,0.42,0.84,, SR1 ,1.30,1.00,2.30,,,
SL,ahunger5,SRE,Assembly,screwed griplock on cable (XO)+masking tape,1,0.42,0.42,, SRE ,0.65,0.50,1.15,,,
SL,ahunger5,SRM,Assembly,screwed griplock on cable (XO)+masking tape,1,0.42,0.42,, SRM ,0.65,0.50,1.15,,,
SL2HLED,ahunger5,Complete Section,Assembly,screwed griplock on cable (XO)+masking tape,2,0.42,0.84,, Complete Section ,1.30,1.00,2.30,,,
SL2HLED,ahunger5,SR1,Assembly,screwed griplock on cable (XO)+masking tape,2,0.42,0.84,, CUBA ,3.90,3.00,6.90,,,
SL2HLED,ahunger5,SRE,Assembly,screwed griplock on cable (XO)+masking tape,1,0.42,0.42,, SR1 ,1.30,1.00,2.30,,,
SL2HLED,ahunger5,SRM,Assembly,screwed griplock on cable (XO)+masking tape,1,0.42,0.42,, SRE ,0.65,0.50,1.15,,,
SL2LLED,ahunger5,Complete Section,Assembly,screwed griplock on cable (XO)+masking tape,2,0.42,0.84,, SRM ,0.65,0.50,1.15,,,
SL2LLED,ahunger5,SR1,Assembly,screwed griplock on cable (XO)+masking tape,2,0.42,0.84,, Complete Section ,1.30,1.00,2.30,,,
SL2LLED,ahunger5,SRE,Assembly,screwed griplock on cable (XO)+masking tape,1,0.42,0.42,, D5 ,1.86,3.00,4.86,,,
SL2LLED,ahunger5,SRM,Assembly,screwed griplock on cable (XO)+masking tape,1,0.42,0.42,, SR1 ,0.62,1.00,1.62,,,
SLLED,ahunger5,Complete Section,Assembly,screwed griplock on cable (XO)+masking tape,2,0.42,0.84,, SRE ,0.31,0.50,0.81,,,
SLLED,ahunger5,SR1,Assembly,screwed griplock on cable (XO)+masking tape,2,0.42,0.84,, SRM ,0.31,0.50,0.81,,,
SLLED,ahunger5,SRE,Assembly,screwed griplock on cable (XO)+masking tape,1,0.42,0.42,, Complete Section ,0.62,1.00,1.62,,,
SLLED,ahunger5,SRM,Assembly,screwed griplock on cable (XO)+masking tape,1,0.42,0.42,, EL ,1.86,3.00,4.86,,,
SU,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SR1 ,0.62,1.00,1.62,,,
SU,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRE ,0.31,0.50,0.81,,,
SU,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRM ,0.31,0.50,0.81,,,
SU,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, Complete Section ,0.62,1.00,1.62,,,
SUA,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, FL ,3.90,3.00,6.90,,,
SUA,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SR1 ,1.30,1.00,2.30,,,
SUA,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRE ,0.65,0.50,1.15,,,
SUA,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRM ,0.65,0.50,1.15,,,
TB,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.30,1.00,2.30,,,
TB,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, L2 ,3.90,3.00,6.90,,,
TB,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.30,1.00,2.30,,,
TB,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.65,0.50,1.15,,,
TBDILED,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.65,0.50,1.15,,,
TBDILED,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.30,1.00,2.30,,,
TBDILED,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, L2A ,3.90,3.00,6.90,,,
TBDILED,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,1.30,1.00,2.30,,,
TBDILEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.65,0.50,1.15,,,
TBDILEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.65,0.50,1.15,,,
TBDILEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.30,1.00,2.30,,,
TBDILEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, LT ,3.90,3.00,6.90,,,
TBDLED,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.30,1.00,2.30,,,
TBDLED,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.65,0.50,1.15,,,
TBDLED,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.65,0.50,1.15,,,
TBDLED,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,1.30,1.00,2.30,,,
TBDLEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, LTA ,3.90,3.00,6.90,,,
TBDLEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,1.30,1.00,2.30,,,
TBDLEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.65,0.50,1.15,,,
TBDLEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.65,0.50,1.15,,,
TBDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,1.30,1.00,2.30,,,
TBDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, LTLED ,,3.00,3.00,,,
TBDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,,1.00,1.00,,,
TBDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,,0.50,0.50,,,
TBILED,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,,0.50,0.50,,,
TBILED,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,,1.00,1.00,,,
TBILED,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, MB ,1.86,3.00,4.86,,,
TBILED,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,0.62,1.00,1.62,,,
TBILEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.31,0.50,0.81,,,
TBILEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRM ,0.31,0.50,0.81,,,
TBILEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,0.62,1.00,1.62,,,
TBILEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, MBLED ,1.86,3.00,4.86,,,
TBIPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,0.62,1.00,1.62,,,
TBIPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SRE ,0.31,0.50,0.81,,,
TBIPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.31,0.50,0.81,,,
TBIPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, Complete Section ,0.62,1.00,1.62,,,
TBLEDPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, PICD ,2.52,3.00,5.52,,,
TBLEDPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, SR1 ,0.84,1.00,1.84,,,
TBLEDPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.42,0.50,0.92,,,
TBLEDPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRM ,0.42,0.50,0.92,,,
TBPAT,ahunger1,Complete Section,Assembly,Clip sub-assy hanger,2,0.62,1.24,, Complete Section ,0.84,1.00,1.84,,,
TBPAT,ahunger1,SR1,Assembly,Clip sub-assy hanger,2,0.62,1.24,, PICI ,1.50,3.00,4.50,,,
TBPAT,ahunger1,SRE,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SR1 ,0.50,1.00,1.50,,,
TBPAT,ahunger1,SRM,Assembly,Clip sub-assy hanger,1,0.62,0.62,, SRE ,0.25,0.50,0.75,,,
TWC,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRM ,0.25,0.50,0.75,,,
TWC,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, Complete Section ,0.50,1.00,1.50,,,
TWC,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, PMD ,2.52,3.00,5.52,,,
TWC,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SR1 ,0.84,1.00,1.84,,,
TWO,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRE ,0.42,0.50,0.92,,,
TWO,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRM ,0.42,0.50,0.92,,,
TWO,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, Complete Section ,0.84,1.00,1.84,,,
TWO,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, PMI ,1.50,3.00,4.50,,,
TWR,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SR1 ,0.50,1.00,1.50,,,
TWR,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SRE ,0.25,0.50,0.75,,,
TWR,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRM ,0.25,0.50,0.75,,,
TWR,ahunger4,SRM,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, Complete Section ,0.50,1.00,1.50,,,
TWRLED,ahunger4,Complete Section,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, PR ,0.00,3.00,3.00,,,
TWRLED,ahunger4,SR1,Assembly,Slide hanger in extrusion(XO),2,0.65,1.3,, SR1 ,0.00,1.00,1.00,,,
TWRLED,ahunger4,SRE,Assembly,Slide hanger in extrusion(XO),1,0.65,0.65,, SRE ,0.00,0.50,0.50,,,
