 Family Product , Optic , Section , Work Center , Option , Length , ID , Task , Time (min) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAY4,VL,SRM,Brake,subopticlens13,4,2,cut overlay,0.125625,,,SB,,,,,,,,,,,,,0.58,0.87,1.16,2.61,0.58,0.87,1.16,2.61,0.29,0.58,0.87,1.74,0.29,0.58,0.87,1.74,8.7
RAY4,VL,SRM,Brake,subopticlens13,8,2,cut overlay,0.25125,,,Single Saw,,,,,,,,,,,,,0.58,0.87,1.16,2.61,0.58,0.87,1.16,2.61,0.29,0.58,0.87,1.74,0.29,0.58,0.87,1.74,8.7
RAY4,VL,SRM,Brake,subopticlens13,12,2,cut overlay,0.376875,,,SL,,,,,,,,,,,,,0.58,0.87,1.16,2.61,0.58,0.87,1.16,2.61,0.29,0.58,0.87,1.74,0.29,0.58,0.87,1.74,8.7
RAY6,VL,Complete Section,Brake,subopticlens13,4,2,cut overlay,0.125625,,,Single Saw,,,,,,,,,,,,,0.58,0.87,1.16,2.61,0.58,0.87,1.16,2.61,0.29,0.58,0.87,1.74,0.29,0.58,0.87,1.74,8.7
RAY6,VL,Complete Section,Brake,subopticlens13,8,2,cut overlay,0.25125,,,B2LED,,,,,,,,,,,,,1.16,2.04,2.04,5.24,1.16,2.04,2.04,5.24,1.16,2.04,2.04,5.24,1.16,2.04,2.04,5.24,20.96
RAY6,VL,Complete Section,Brake,subopticlens13,12,2,cut overlay,0.376875,,,C,,,,,,,,,,,,,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,6.986666667
RAY6,VL,SR1,Brake,subopticlens13,4,2,cut overlay,0.125625,,,Saw Lenses,,,,,,,,,,,,,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,6.986666667
RAY6,VL,SR1,Brake,subopticlens13,8,2,cut overlay,0.25125,,,FL,,,,,,,,,,,,,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,6.986666667
RAY6,VL,SR1,Brake,subopticlens13,12,2,cut overlay,0.376875,,,Saw Lenses,,,,,,,,,,,,,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,6.986666667
RAY6,VL,SRE,Brake,subopticlens13,4,2,cut overlay,0.125625,,,SO,,,,,,,,,,,,,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,6.986666667
RAY6,VL,SRE,Brake,subopticlens13,8,2,cut overlay,0.25125,,,Saw Lenses,,,,,,,,,,,,,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,6.986666667
RAY6,VL,SRE,Brake,subopticlens13,12,2,cut overlay,0.376875,,,B3LED,,,,,,,,,,,,,1.953868,3.0371225,3.3299735,8.320964,1.953868,3.0371225,3.3299735,8.320964,1.953868,3.0371225,3.3299735,8.320964,1.953868,3.0371225,3.3299735,8.320964,33.283856
RAY6,VL,SRM,Brake,subopticlens13,4,2,cut overlay,0.125625,,,C,,,,,,,,,,,,,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,6.986666667
RAY6,VL,SRM,Brake,subopticlens13,8,2,cut overlay,0.25125,,,Saw Lenses,,,,,,,,,,,,,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,6.986666667
RAY6,VL,SRM,Brake,subopticlens13,12,2,cut overlay,0.376875,,,FL,,,,,,,,,,,,,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,6.986666667
RAY8,VL,Complete Section,Brake,subopticlens13,4,2,cut overlay,0.125625,,,Saw Lenses,,,,,,,,,,,,,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,6.986666667
RAY8,VL,Complete Section,Brake,subopticlens13,8,2,cut overlay,0.25125,,,SO,,,,,,,,,,,,,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,6.986666667
RAY8,VL,Complete Section,Brake,subopticlens13,12,2,cut overlay,0.376875,,,Saw Lenses,,,,,,,,,,,,,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,0.386666667,0.68,0.68,1.746666667,6.986666667
RAY8,VL,SR1,Brake,subopticlens13,4,2,cut overlay,0.125625,,,ASO,,,,,,,,,,,,,0.793868,0.9971225,1.2899735,3.080964,0.793868,0.9971225,1.2899735,3.080964,0.793868,0.9971225,1.2899735,3.080964,0.793868,0.9971225,1.2899735,3.080964,12.323856
RAY8,VL,SR1,Brake,subopticlens13,8,2,cut overlay,0.25125,,,Saw Bench,,,,,,,,,,,,,0.32,0.38,0.44,1.14,0.32,0.38,0.44,1.14,0.32,0.38,0.44,1.14,0.32,0.38,0.44,1.14,4.56
RAY8,VL,SR1,Brake,subopticlens13,12,2,cut overlay,0.376875,,,Saw Lenses,,,,,,,,,,,,,0.125625,0.25125,0.376875,0.75375,0.125625,0.25125,0.376875,0.75375,0.125625,0.25125,0.376875,0.75375,0.125625,0.25125,0.376875,0.75375,3.015
