 Product ID , Lighting , Fixture Type , Mounting , Work Center , Section , Length , Option , ID , Task ,Time(min),,Sum of Time(min),Column Labels,,,,,,,
WALED,led,Grid LED,TG9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,TG9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0.02,,,,,,,,,,
WALED,led,Grid LED,TG9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,TB15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.65,,,,,,,,,,
DIALED,led,Grid LED,TB15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,TB15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,TB15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0.02,,,,,,,,,,
DIALED,led,Grid LED,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,TB15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.65,,,,,,,,,,
POLED,led,Grid LED,TB15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,TB15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,TB15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0.02,,,,,,,,,,
POLED,led,Grid LED,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,TB15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.65,,,,,,,,,,
WALED,led,Grid LED,TB15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,TB15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,TB15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0.02,,,,,,,,,,
WALED,led,Grid LED,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,TG15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
DIALED,led,Grid LED,TG15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,TG15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,TG15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,TG15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,TG15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
POLED,led,Grid LED,TG15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,TG15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,TG15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,TG15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,TG15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,1.39,,,,,,,,,,
WALED,led,Grid LED,TG15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,TG15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,TG15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,TG15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,ST,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.65,,,,,,,,,,
DIALED,led,Grid LED,ST,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,ST,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,ST,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0.02,,,,,,,,,,
DIALED,led,Grid LED,ST,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,ST,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.65,,,,,,,,,,
POLED,led,Grid LED,ST,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,ST,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,ST,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0.02,,,,,,,,,,
POLED,led,Grid LED,ST,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,ST,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.65,,,,,,,,,,
WALED,led,Grid LED,ST,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,ST,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,ST,Assembly,-,22,airreturngrid,1,Air return -assembly lines,0.02,,,,,,,,,,
WALED,led,Grid LED,ST,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,SM,Assembly,-,11,airreturngrid,1,Air return -assembly lines,6.38,,,,,,,,,,
DIALED,led,Grid LED,SM,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DIALED,led,Grid LED,SM,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.61,,,,,,,,,,
DIALED,led,Grid LED,SM,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.24,,,,,,,,,,
DIALED,led,Grid LED,SM,Assembly,-,24,airreturngrid,1,Air return -assembly lines,2.36,,,,,,,,,,
POLED,led,Grid LED,SM,Assembly,-,11,airreturngrid,1,Air return -assembly lines,6.38,,,,,,,,,,
POLED,led,Grid LED,SM,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
POLED,led,Grid LED,SM,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.61,,,,,,,,,,
POLED,led,Grid LED,SM,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.24,,,,,,,,,,
POLED,led,Grid LED,SM,Assembly,-,24,airreturngrid,1,Air return -assembly lines,2.36,,,,,,,,,,
WALED,led,Grid LED,SM,Assembly,-,11,airreturngrid,1,Air return -assembly lines,6.38,,,,,,,,,,
WALED,led,Grid LED,SM,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
WALED,led,Grid LED,SM,Assembly,-,14,airreturngrid,1,Air return -assembly lines,3.61,,,,,,,,,,
WALED,led,Grid LED,SM,Assembly,-,22,airreturngrid,1,Air return -assembly lines,4.24,,,,,,,,,,
WALED,led,Grid LED,SM,Assembly,-,24,airreturngrid,1,Air return -assembly lines,2.36,,,,,,,,,,
DAYCLED,led,Grid LED,TB9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.17,,,,,,,,,,
DAYCLED,led,Grid LED,TB9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,TB9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,TB9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,1.52,,,,,,,,,,
DAYCLED,led,Grid LED,TB9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,TB9,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.17,,,,,,,,,,
DAYFLED,led,Grid LED,TB9,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,TB9,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,TB9,Assembly,-,22,airreturngrid,1,Air return -assembly lines,1.52,,,,,,,,,,
DAYFLED,led,Grid LED,TB9,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,TB15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.17,,,,,,,,,,
DAYCLED,led,Grid LED,TB15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,TB15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,TB15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,1.52,,,,,,,,,,
DAYCLED,led,Grid LED,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,TB15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.17,,,,,,,,,,
DAYFLED,led,Grid LED,TB15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,TB15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,TB15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,1.52,,,,,,,,,,
DAYFLED,led,Grid LED,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,TG15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.17,,,,,,,,,,
DAYCLED,led,Grid LED,TG15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,TG15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,TG15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,1.52,,,,,,,,,,
DAYCLED,led,Grid LED,TG15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,TG15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.17,,,,,,,,,,
DAYFLED,led,Grid LED,TG15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,TG15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,TG15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,1.52,,,,,,,,,,
DAYFLED,led,Grid LED,TG15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,TB15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.17,,,,,,,,,,
DAYCLED,led,Grid LED,TB15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,TB15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,TB15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,1.52,,,,,,,,,,
DAYCLED,led,Grid LED,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,TB15,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.17,,,,,,,,,,
DAYFLED,led,Grid LED,TB15,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,TB15,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,TB15,Assembly,-,22,airreturngrid,1,Air return -assembly lines,1.52,,,,,,,,,,
DAYFLED,led,Grid LED,TB15,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,ST,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.17,,,,,,,,,,
DAYCLED,led,Grid LED,ST,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,ST,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,ST,Assembly,-,22,airreturngrid,1,Air return -assembly lines,1.52,,,,,,,,,,
DAYCLED,led,Grid LED,ST,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,ST,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.17,,,,,,,,,,
DAYFLED,led,Grid LED,ST,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,ST,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,ST,Assembly,-,22,airreturngrid,1,Air return -assembly lines,1.52,,,,,,,,,,
DAYFLED,led,Grid LED,ST,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,SM,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.17,,,,,,,,,,
DAYCLED,led,Grid LED,SM,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,SM,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYCLED,led,Grid LED,SM,Assembly,-,22,airreturngrid,1,Air return -assembly lines,1.52,,,,,,,,,,
DAYCLED,led,Grid LED,SM,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,SM,Assembly,-,11,airreturngrid,1,Air return -assembly lines,3.17,,,,,,,,,,
DAYFLED,led,Grid LED,SM,Assembly,-,12,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,SM,Assembly,-,14,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
DAYFLED,led,Grid LED,SM,Assembly,-,22,airreturngrid,1,Air return -assembly lines,1.52,,,,,,,,,,
DAYFLED,led,Grid LED,SM,Assembly,-,24,airreturngrid,1,Air return -assembly lines,0,,,,,,,,,,
