 Family Product , Optic , Work Center , Option , Time (min) ,, Sum of Time (min) , Column Labels ,,,,,,,,
 BEAM3 , PL , Saw Lenses , subopticlouv1 ,3.00,, BEAMDI ,,,,,,,,,
 BEAM4 , PL , Saw Lenses , subopticlouv1 ,3.00,, F ,,,,,,0.30,,,0.30
 BEAM6 , PL , Saw Lenses , subopticlouv1 ,3.00,, S ,,,,,,0.30,,,0.30
 TBEAM2 , PL , Saw Lenses , subopticlouv1 ,3.00,, CUBIC ,,,,,,,,,
 B4LED , RG , Saw Lenses , subopticlens1 ,0.30,, S ,,,,,,5.57,,4.85,10.42
 B6LED , RG , Saw Lenses , subopticlens1 ,0.30,, VL ,2.00,,,,,,,4.85,6.85
 ARC , S , Single Saw , subopticcovers ,4.85,, PL ,,,,,,,,4.85,4.85
 BASE , S , Single Saw , subopticcovers ,4.85,, SB ,,,,,,,,4.85,4.85
 CUBIC , S , Single Saw , subopticcovers ,4.85,, P ,,,,,,,,4.85,4.85
 FLOW , S , Single Saw , subopticcovers ,4.85,, SL ,,,,,,,,4.85,4.85
 LIGHT , S , Single Saw , subopticcovers ,4.85,, D535 ,,,,,,,,,
 LT , S , Single Saw , subopticcovers ,4.85,, SLC ,,2.00,1.00,,,5.57,,,8.57
 SUSHI , S , Single Saw , subopticcovers ,4.85,, DAY ,,,,,,,,,
 TWIG , S , Single Saw , subopticcovers ,4.85,, S ,,,,,,1.00,,,1.00
 BEAM2 , S , Saw Lenses , subopticlens1 ,0.30,, SB ,,,,,,1.00,,,1.00
 BEAM3 , S , Saw Lenses , subopticlens1 ,0.30,, DAYLED ,,,,,,,,,
 BEAM4 , S , Saw Lenses , subopticlens1 ,0.30,, SO ,,,,,,1.00,,,1.00
 BEAM6 , S , Saw Lenses , subopticlens1 ,0.30,, DIA ,,,,,,,,,
 BEAMDI , S , Saw Lenses , subopticlens1 ,0.30,, S ,,,,,,,,1.00,1.00
 PICMED , S , Saw Lenses , subopticlens1 ,0.30,, VL ,,,,,,,,1.00,1.00
 PICOLO , S , Saw Lenses , subopticlens1 ,0.30,, DIALED ,,,,,,,,,
 TBEAM2 , S , Saw Lenses , subopticlens1 ,0.30,, VL ,,,,,,,,1.00,1.00
 WB4LED , S , Saw Lenses , subopticlens1 ,0.30,, DUO ,,,,,,,,,
 WBEAM4 , S , Saw Lenses , subopticlens1 ,0.30,, VL ,,,,,,,,1.00,1.00
 ARC , S , Saw Lenses , subopticlens3 , CAD 5.57 ,, ELLE ,,,,,,,,,
 BASE , S , Saw Lenses , subopticlens3 , CAD 5.57 ,, SL ,,2.00,1.00,,,5.57,,,8.57
 CUBIC , S , Saw Lenses , subopticlens3 , CAD 5.57 ,, FLOW ,,,,,,,,,
 FLOW , S , Saw Lenses , subopticlens3 , CAD 5.57 ,, S ,,,,,,5.57,,4.85,10.42
 LIGHT , S , Saw Lenses , subopticlens3 , CAD 5.57 ,, PL ,,,,,,,,4.85,4.85
 LT , S , Saw Lenses , subopticlens3 , CAD 5.57 ,, P ,,,,,,,,4.85,4.85
 SUSHI , S , Saw Lenses , subopticlens3 , CAD 5.57 ,, SL ,,,,,,,,4.85,4.85
 TWIG , S , Saw Lenses , subopticlens3 , CAD 5.57 ,, LIGHT ,,,,,,,,,
 AIR , S , Saw Lenses , subopticlens4 ,4.18,, S ,,,,,,5.57,,4.85,10.42
 AIRLED , S , Saw Lenses , subopticlens4 ,4.18,, PL ,,,,,,,,4.85,4.85
 MINI , S , Saw Lenses , subopticlens4 ,4.18,, SB ,,,,,,,,4.85,4.85
 MINLED , S , Saw Lenses , subopticlens4 ,4.18,, P ,,,,,,,,4.85,4.85
 PRIME , S , Saw Lenses , subopticlens4 ,4.18,, SL ,,,,,,,,4.85,4.85
 PRMLED , S , Saw Lenses , subopticlens4 ,4.18,, LT ,,,,,,,,,
 WBEAMD , S , Drilling , subopticlens6 ,3.00,, S ,,,,,,5.57,,4.85,10.42
 DIA , S , Single Saw , subopticlens8 ,1.00,, VL ,2.00,,,,,,,4.85,6.85
 PLANO , S , Single Saw , subopticlens8 ,1.00,, PL ,,,,,,,,4.85,4.85
 DAY , S , Saw Lenses , subopticlens9 ,1.00,, SB ,,,,,,,,4.85,4.85
 ARC , SB , Single Saw , subopticcovers ,4.85,, P ,,,,,,,,4.85,4.85
