 Product ID , Work Center , Option , Task , Time(min) ,, Sum of Time(min) , Column Labels ,,,,
 BBWPAT , Subassembly , subendc3 , Set-up ,0.00,, BBDLEDPAT ,5.00,,,,5.00
 BDIW , Subassembly , subendc3 , Set-up ,0.00,, BBDPAT ,3.00,,,,3.00
 BMS , Subassembly , subendc3 , Set-up ,0.00,, BBI ,3.00,,,,3.00
 BMSPAT , Subassembly , subendc3 , Set-up ,0.00,, BBILED ,5.00,,,,5.00
 BMWD , Subassembly , subendc3 , Set-up ,0.00,, BBILED2 ,5.00,,,,5.00
 BMWDPAT , Subassembly , subendc3 , Set-up ,0.00,, BBILEDPAT ,5.00,,,,5.00
 BMWI , Subassembly , subendc3 , Set-up ,0.00,, BBIPAT ,3.00,,,,3.00
 BMWIPAT , Subassembly , subendc3 , Set-up ,0.00,, BBLED2 ,5.00,,,,5.00
 BMWPAT , Subassembly , subendc3 , Set-up ,0.00,, BBLEDPAT ,5.00,,,,5.00
 BMWV , Subassembly , subendc3 , Set-up ,0.00,, BBPAT ,3.00,,,,3.00
 TWC , Subassembly , subendc3 , Set-up ,0.00,, BBS ,,0.00,,,0.00
 TWCW , Subassembly , subendc3 , Set-up ,0.00,, BBSLED ,,0.00,,,0.00
 TWO , Subassembly , subendc3 , Set-up ,0.00,, BBSLEDPAT ,,0.00,,,0.00
 TWOW , Subassembly , subendc3 , Set-up ,0.00,, BBSPAT ,,0.00,,,0.00
 TWR , Subassembly , subendc3 , Set-up ,0.00,, BBW ,,0.00,,,0.00
 TWRLED , Subassembly , subendc3 , Set-up ,0.00,, BBWD ,,0.00,,,0.00
 TWRW , Subassembly , subendc3 , Set-up ,0.00,, BBWDILED ,,0.00,,,0.00
 TWRWLED , Subassembly , subendc3 , Set-up ,0.00,, BBWDLED ,,0.00,,,0.00
 B6SLED , Subassembly , subendc4 , Set-up ,0.00,, BBWDLEDPAT ,,0.00,,,0.00
 B6SLEDPAT , Subassembly , subendc4 , Set-up ,0.00,, BBWDPAT ,,0.00,,,0.00
 B6WDLED , Subassembly , subendc4 , Set-up ,0.00,, BBWI ,,0.00,,,0.00
 B6WDLEDPAT , Subassembly , subendc4 , Set-up ,0.00,, BBWILED ,,0.00,,,0.00
 B6WILEDPAT , Subassembly , subendc4 , Set-up ,0.00,, BBWILEDPAT ,,0.00,,,0.00
 B6WLEDPAT , Subassembly , subendc4 , Set-up ,0.00,, BBWIPAT ,,0.00,,,0.00
 BBSLED , Subassembly , subendc4 , Set-up ,0.00,, BBWLEDPAT ,,0.00,,,0.00
 BBSLEDPAT , Subassembly , subendc4 , Set-up ,0.00,, BBWPAT ,,0.00,,,0.00
 BBWDILED , Subassembly , subendc4 , Set-up ,0.00,, BD ,3.00,,,,3.00
 BBWDLED , Subassembly , subendc4 , Set-up ,0.00,, BDI ,3.00,,,,3.00
 BBWDLEDPAT , Subassembly , subendc4 , Set-up ,0.00,, BDIW ,,0.00,,,0.00
 BBWILED , Subassembly , subendc4 , Set-up ,0.00,, BDLED ,5.00,,,,5.00
 BBWILEDPAT , Subassembly , subendc4 , Set-up ,0.00,, BDLEDPAT ,5.00,,,,5.00
 BBWLEDPAT , Subassembly , subendc4 , Set-up ,0.00,, BDPAT ,3.00,,,,3.00
 BMSLED , Subassembly , subendc4 , Set-up ,0.00,, BI ,3.00,,,,3.00
 BMSLEDPAT , Subassembly , subendc4 , Set-up ,0.00,, BILED ,5.00,,,,5.00
 BMWDLED , Subassembly , subendc4 , Set-up ,0.00,, BILEDPAT ,5.00,,,,5.00
 BMWDLEDPAT , Subassembly , subendc4 , Set-up ,0.00,, BIPAT ,3.00,,,,3.00
 BMWILED , Subassembly , subendc4 , Set-up ,0.00,, BLEDPAT ,5.00,,,,5.00
 BMWILEDPAT , Subassembly , subendc4 , Set-up ,0.00,, BMD ,3.00,,,,3.00
 BMWLEDPAT , Subassembly , subendc4 , Set-up ,0.00,, BMDLED ,5.00,,,,5.00
 BMWVLED , Subassembly , subendc4 , Set-up ,0.00,, BMDLEDPAT ,5.00,,,,5.00
 B6 , Drilling , subendc5 , Set-up ,3.00,, BMDPAT ,3.00,,,,3.00
 B6D , Drilling , subendc5 , Set-up ,3.00,, BMI ,3.00,,,,3.00
 B6DPAT , Drilling , subendc5 , Set-up ,3.00,, BMILED ,5.00,,,,5.00
 B6I , Drilling , subendc5 , Set-up ,3.00,, BMILEDPAT ,5.00,,,,5.00
 B6IPAT , Drilling , subendc5 , Set-up ,3.00,, BMIPAT ,3.00,,,,3.00
 B6PAT , Drilling , subendc5 , Set-up ,3.00,, BMLEDPAT ,5.00,,,,5.00
 BB , Drilling , subendc5 , Set-up ,3.00,, BMS ,,0.00,,,0.00
 BBD , Drilling , subendc5 , Set-up ,3.00,, BMSLED ,,0.00,,,0.00
 BBDPAT , Drilling , subendc5 , Set-up ,3.00,, BMSLEDPAT ,,0.00,,,0.00
 BBI , Drilling , subendc5 , Set-up ,3.00,, BMSPAT ,,0.00,,,0.00
 BBIPAT , Drilling , subendc5 , Set-up ,3.00,, BMWD ,,0.00,,,0.00
 BBPAT , Drilling , subendc5 , Set-up ,3.00,, BMWDLED ,,0.00,,,0.00
 BD , Drilling , subendc5 , Set-up ,3.00,, BMWDLEDPAT ,,0.00,,,0.00
 BDI , Drilling , subendc5 , Set-up ,3.00,, BMWDPAT ,,0.00,,,0.00
 BDPAT , Drilling , subendc5 , Set-up ,3.00,, BMWI ,,0.00,,,0.00
 BI , Drilling , subendc5 , Set-up ,3.00,, BMWILED ,,0.00,,,0.00
 BIPAT , Drilling , subendc5 , Set-up ,3.00,, BMWILEDPAT ,,0.00,,,0.00
 BMD , Drilling , subendc5 , Set-up ,3.00,, BMWIPAT ,,0.00,,,0.00
 BMDPAT , Drilling , subendc5 , Set-up ,3.00,, BMWLEDPAT ,,0.00,,,0.00
 BMI , Drilling , subendc5 , Set-up ,3.00,, BMWPAT ,,0.00,,,0.00
 BMIPAT , Drilling , subendc5 , Set-up ,3.00,, BMWV ,,0.00,,,0.00
 B6DLED , Drilling , subendc6 , Set-up ,5.00,, BMWVLED ,,0.00,,,0.00
 B6DLEDPAT , Drilling , subendc6 , Set-up ,5.00,, BS ,,0.00,,,0.00
