,,,,,,,,,,,,,,,,,,,,,,,,System Run Circuit,,,,,,,,,Length (feet),Cartridge 1 SR1
,,,,,,,,,,,fluorescent,indirect,1,4,1,fluorescentindirect114,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,1,4,2,fluorescentindirect124,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,1,4,3,fluorescentindirect134,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,1,4,4,fluorescentindirect144,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,1,8,1,fluorescentdirect118,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,1,8,2,fluorescentdirect128,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,1,8,3,fluorescentdirect138,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,1,8,4,fluorescentdirect148,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,1,8,1,fluorescentindirect118,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,1,8,2,fluorescentindirect128,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,1,8,3,fluorescentindirect138,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,1,8,4,fluorescentindirect148,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,1,12,1,fluorescentdirect1112,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,1,12,2,fluorescentdirect1212,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,1,12,3,fluorescentdirect1312,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,1,12,4,fluorescentdirect1412,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,1,12,1,fluorescentindirect1112,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,1,12,2,fluorescentindirect1212,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,1,12,3,fluorescentindirect1312,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,1,12,4,fluorescentindirect1412,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,4,1,fluorescentdirect/indirect114,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,4,2,fluorescentdirect/indirect124,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,4,3,fluorescentdirect/indirect134,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,4,4,fluorescentdirect/indirect144,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,4,5,fluorescentdirect/indirect154,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,8,1,fluorescentdirect/indirect118,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,8,2,fluorescentdirect/indirect128,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,8,3,fluorescentdirect/indirect138,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,8,4,fluorescentdirect/indirect148,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,8,5,fluorescentdirect/indirect158,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,12,1,fluorescentdirect/indirect1112,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,12,2,fluorescentdirect/indirect1212,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,12,3,fluorescentdirect/indirect1312,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,12,4,fluorescentdirect/indirect1412,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct/indirect,1,12,5,fluorescentdirect/indirect1512,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,2,4,1,fluorescentdirect214,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,2,4,2,fluorescentdirect224,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,2,4,3,fluorescentdirect234,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,2,4,4,fluorescentdirect244,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,2,8,1,fluorescentdirect218,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,2,8,2,fluorescentdirect228,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,2,8,3,fluorescentdirect238,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,2,8,4,fluorescentdirect248,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,2,12,1,fluorescentdirect2112,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,2,12,2,fluorescentdirect2212,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,2,12,3,fluorescentdirect2312,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,direct,2,12,4,fluorescentdirect2412,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,2,4,1,fluorescentindirect214,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,2,4,2,fluorescentindirect224,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,2,4,3,fluorescentindirect234,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,2,4,4,fluorescentindirect244,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,2,8,1,fluorescentindirect218,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,2,8,2,fluorescentindirect228,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,2,8,3,fluorescentindirect238,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,2,8,4,fluorescentindirect248,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,2,12,1,fluorescentindirect2112,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,2,12,2,fluorescentindirect2212,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,2,12,3,fluorescentindirect2312,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fluorescent,indirect,2,12,4,fluorescentindirect2412,6,,,,,,,,,,,,,,,,,
