 Section , Fixture Type , Circuit , Kind Of Ballast/Driver , Work Center , Wires Qty , Option , ID , Task , Time (min) 
SRE,pendant,2A/B,BI,Assembly,4,ewdbi2p,2,bring exit wires to exit#2,0.15
SRE,pendant,2A/B,BI,Assembly,4,ewdbi2p,3,bring power wires for continious row,0.1
SRE,pendant,2A/B,BI,Assembly,4,ewdbi2p,4,plug 4x pc252 connectors for continius row wires,0
SRE,pendant,2A/B,BI,Assembly,4,ewdbi2p,5,plug power cord 4 wires to exit wires & screw to housing with plastic clamp,1.46
SRE,pendant,2A/B,BI,Assembly,4,ewdbi2p,6,turn power cords,0.17
Complete Section,recessed,1,BI,Assembly,4,ewdbi1r,1,bring exit wires to exit#1,0.15
Complete Section,recessed,1,BI,Assembly,4,ewdbi1r,2,bring power wires for continious row,0
Complete Section,recessed,1,BI,Assembly,4,ewdbi1r,3,plug 4x pc252 connectors for continius row wires,0
SR1,recessed,1,BI,Assembly,4,ewdbi1r,1,bring exit wires to exit#1,0.15
SR1,recessed,1,BI,Assembly,4,ewdbi1r,2,bring power wires for continious row,0.1
SR1,recessed,1,BI,Assembly,4,ewdbi1r,3,plug 4x pc252 connectors for continius row wires,0.24
SRM,recessed,1,BI,Assembly,4,ewdbi1r,1,bring exit wires to exit#1,0
SRM,recessed,1,BI,Assembly,4,ewdbi1r,2,bring power wires for continious row,0.2
SRM,recessed,1,BI,Assembly,4,ewdbi1r,3,plug 4x pc252 connectors for continius row wires,0.24
SRE,recessed,1,BI,Assembly,4,ewdbi1r,1,bring exit wires to exit#1,0
SRE,recessed,1,BI,Assembly,4,ewdbi1r,2,bring power wires for continious row,0.1
SRE,recessed,1,BI,Assembly,4,ewdbi1r,3,plug 4x pc252 connectors for continius row wires,0
Complete Section,recessed,2,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0.15
Complete Section,recessed,2,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0.15
Complete Section,recessed,2,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0
Complete Section,recessed,2,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0
SR1,recessed,2,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0.15
SR1,recessed,2,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0
SR1,recessed,2,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0.1
SR1,recessed,2,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0.24
SRM,recessed,2,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0
SRM,recessed,2,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0
SRM,recessed,2,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0.2
SRM,recessed,2,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0.24
SRE,recessed,2,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0
SRE,recessed,2,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0.15
SRE,recessed,2,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0.1
SRE,recessed,2,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0
Complete Section,recessed,2A/B,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0.15
Complete Section,recessed,2A/B,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0.15
Complete Section,recessed,2A/B,BI,Assembly,4,ewdbi2r,3,bring power wires for continious row,0
Complete Section,recessed,2A/B,BI,Assembly,4,ewdbi2r,4,plug 4x pc252 connectors for continius row wires,0
SR1,recessed,2A/B,BI,Assembly,4,ewdbi2r,1,bring exit wires to exit#1,0.15
SR1,recessed,2A/B,BI,Assembly,4,ewdbi2r,2,bring exit wires to exit#2,0
